# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            67.120      19.210      0      MY
XR10           97.260      2.500       0      MY
XR13           114.185     2.500       0      R0
XR14           144.325     19.210      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           84.045      19.210      0      MY
XR27           114.185     19.210      0      R0
XR30           67.120      2.500       0      MY
XR32           131.110     2.500       0      R0
MM33           36.810      18.870      0      R0
MM34           26.260      18.870      0      MY
