# net         layer  x1       y1       x2       y2       width

VDD          M1    84.000   49.000   30.000   49.000   0.050
VDD          M1    63.000   49.000   63.000   35.000   0.050
VDD          M2    84.000   32.000   84.000   49.000   0.050
VDD          M1    147.000  52.000   147.000  48.000   0.050
VDD          M1    147.000  48.000   84.000   48.000   0.050
VDD          M1    84.000   48.000   84.000   49.000   0.050
VDD          M1    49.000   3.000    49.000   49.000   0.050
VDD          M1    6.000    3.000    6.000    35.000   0.050
VDD          M1    6.000    35.000   63.000   35.000   0.050
GND          M1    22.000   24.000   33.000   24.000   0.050
8            M1    141.000  52.000   132.000  52.000   1.000
8            M2    132.000  52.000   132.000  8.000    1.000
8            M2    132.000  8.000    39.000   8.000    1.000
12           M1    121.000  49.000   129.000  49.000   1.000
12           M2    129.000  49.000   129.000  61.000   1.000
12           M1    47.000   61.000   131.000  61.000   1.000
12           M1    19.000   15.000   47.000   15.000   1.000
12           M1    32.000   8.000    23.000   8.000    1.000
12           M1    23.000   8.000    23.000   15.000   1.000
12           M2    47.000   61.000   47.000   15.000   1.000
12           M2    6.000    3.000    6.000    14.000   1.000
12           M2    6.000    14.000   19.000   14.000   1.000
12           M1    19.000   14.000   19.000   24.000   1.000
12           M2    22.000   24.000   19.000   24.000   1.000
LOI-         M1    94.000   32.000   75.000   32.000   0.050
LOI-         M1    75.000   25.000   75.000   35.000   0.050
LOI-         M1    121.000  58.000   94.000   58.000   0.050
LOI-         M2    94.000   58.000   94.000   32.000   0.050
LOI-         M2    33.000   3.000    33.000   25.000   0.050
LOI-         M1    67.000   32.000   67.000   25.000   0.050
LOI-         M2    75.000   25.000   48.000   25.000   0.050
LOI-         M1    48.000   25.000   33.000   25.000   0.050
LOI-         M2    49.000   3.000    33.000   3.000    0.050
9            M1    84.000   39.000   72.000   39.000   1.000
9            M1    72.000   39.000   72.000   2.000    1.000
9            M2    72.000   2.000    16.000   2.000    1.000
9            M2    16.000   2.000    16.000   8.000    1.000
