# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            29.930      27.420      0      MY
XR10           46.855      27.420      0      MY
XR13           63.780      27.420      0      R0
XR14           80.705      27.420      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           33.640      44.130      0      MY
XR27           63.780      44.130      0      R0
XR30           3.500       44.130      0      MY
XR32           93.920      44.130      0      R0
MM33           36.810      18.870      90     R90
MM34           26.220      18.870      90     MXR90
