# net         layer  x1       y1       x2       y2       width

VDD          M1    49.000   49.000   49.000   3.000    0.050
VDD          M1    6.000    35.000   63.000   35.000   0.050
VDD          M1    30.000   49.000   49.000   49.000   0.050
VDD          M1    144.000  49.000   144.000  45.000   0.050
VDD          M1    61.000   45.000   149.000  45.000   0.050
VDD          M1    84.000   32.000   149.000  32.000   0.050
VDD          M1    149.000  32.000   149.000  45.000   0.050
VDD          M1    61.000   49.000   61.000   45.000   0.050
VDD          M1    63.000   45.000   63.000   35.000   0.050
VDD          M1    6.000    3.000    6.000    35.000   0.050
GND          M1    22.000   24.000   33.000   24.000   0.050
8            M1    144.000  55.000   142.000  55.000   1.000
8            M2    142.000  55.000   39.000   55.000   1.000
8            M2    39.000   55.000   39.000   8.000    1.000
12           M1    121.000  49.000   132.000  49.000   1.000
12           M1    132.000  46.000   132.000  53.000   1.000
12           M1    19.000   15.000   43.000   15.000   1.000
12           M1    32.000   8.000    23.000   8.000    1.000
12           M1    23.000   8.000    23.000   15.000   1.000
12           M2    132.000  46.000   43.000   46.000   1.000
12           M2    43.000   46.000   43.000   15.000   1.000
12           M2    6.000    3.000    6.000    14.000   1.000
12           M2    6.000    14.000   19.000   14.000   1.000
12           M1    19.000   14.000   19.000   24.000   1.000
12           M2    22.000   24.000   19.000   24.000   1.000
LOI-         M2    111.000  53.000   133.000  53.000   0.050
LOI-         M2    133.000  53.000   133.000  38.000   0.050
LOI-         M1    133.000  38.000   76.000   38.000   0.050
LOI-         M1    76.000   38.000   76.000   25.000   0.050
LOI-         M1    121.000  58.000   111.000  58.000   0.050
LOI-         M1    111.000  58.000   111.000  53.000   0.050
LOI-         M2    33.000   24.000   33.000   25.000   0.050
LOI-         M1    67.000   32.000   67.000   25.000   0.050
LOI-         M2    76.000   25.000   44.000   25.000   0.050
LOI-         M1    48.000   25.000   33.000   25.000   0.050
LOI-         M2    49.000   3.000    41.000   3.000    0.050
LOI-         M2    41.000   3.000    41.000   25.000   0.050
9            M1    84.000   39.000   64.000   39.000   1.000
9            M2    64.000   39.000   64.000   26.000   1.000
9            M2    64.000   26.000   45.000   26.000   1.000
9            M1    45.000   26.000   15.000   26.000   1.000
9            M1    15.000   26.000   15.000   8.000    1.000
9            M1    15.000   8.000    16.000   8.000    1.000
