# net         layer  x1       y1       x2       y2       width

GND          M1    125.000  17.000   136.000  17.000   0.050
VDD          M1    16.000   17.000   81.000   17.000   0.050
VDD          M1    118.000  3.000    81.000   3.000    0.050
VDD          M1    81.000   3.000    81.000   17.000   0.050
VDD          M1    65.000   6.000    65.000   17.000   0.050
VDD          M1    65.000   11.000   81.000   11.000   0.050
12           M2    125.000  17.000   124.000  17.000   1.000
12           M1    107.000  5.000    107.000  17.000   1.000
12           M2    107.000  3.000    107.000  5.000    1.000
12           M1    30.000   9.000    30.000   12.000   1.000
12           M2    30.000   9.000    107.000  9.000    1.000
12           M1    124.000  17.000   107.000  17.000   1.000
12           M1    106.000  17.000   106.000  6.000    1.000
12           M1    106.000  6.000    107.000  6.000    1.000
LOI-         M2    136.000  17.000   136.000  19.000   0.050
LOI-         M1    136.000  19.000   118.000  19.000   0.050
LOI-         M1    106.000  27.000   126.000  27.000   0.050
LOI-         M1    126.000  27.000   126.000  19.000   0.050
LOI-         M1    76.000   3.000    76.000   2.000    0.050
LOI-         M1    76.000   2.000    17.000   2.000    0.050
LOI-         M1    17.000   2.000    17.000   6.000    0.050
LOI-         M2    126.000  19.000   115.000  19.000   0.050
LOI-         M2    115.000  19.000   115.000  3.000    0.050
LOI-         M2    17.000   6.000    115.000  6.000    0.050
LOI-         M2    118.000  3.000    118.000  19.000   0.050
9            M1    93.000   9.000    82.000   9.000    1.000
9            M1    82.000   9.000    82.000   4.000    1.000
9            M2    82.000   4.000    9.000    4.000    1.000
9            M2    9.000    4.000    9.000    3.000    1.000
8            M1    59.000   6.000    59.000   7.000    1.000
8            M2    59.000   7.000    16.000   7.000    1.000
8            M1    16.000   7.000    16.000   2.000    1.000
8            M2    16.000   2.000    30.000   2.000    1.000
8            M2    30.000   2.000    30.000   3.000    1.000
