# net         layer  x1       y1       x2       y2       width

VDD          M1    35.000   49.000   30.000   49.000   0.050
VDD          M1    144.000  49.000   61.000   49.000   0.050
VDD          M1    63.000   49.000   63.000   30.000   0.050
VDD          M2    84.000   32.000   84.000   49.000   0.050
VDD          M1    35.000   49.000   35.000   30.000   0.050
VDD          M1    49.000   3.000    49.000   30.000   0.050
VDD          M1    63.000   30.000   35.000   30.000   0.050
VDD          M1    6.000    3.000    6.000    35.000   0.050
VDD          M1    6.000    35.000   63.000   35.000   0.050
GND          M1    22.000   24.000   33.000   24.000   0.050
8            M1    144.000  55.000   132.000  55.000   1.000
8            M2    132.000  55.000   40.000   55.000   1.000
8            M2    40.000   55.000   40.000   8.000    1.000
8            M1    40.000   8.000    39.000   8.000    1.000
12           M2    121.000  49.000   133.000  49.000   1.000
12           M2    133.000  49.000   133.000  61.000   1.000
12           M1    133.000  61.000   38.000   61.000   1.000
12           M1    19.000   15.000   39.000   15.000   1.000
12           M1    32.000   8.000    23.000   8.000    1.000
12           M1    23.000   8.000    23.000   15.000   1.000
12           M2    38.000   61.000   38.000   15.000   1.000
12           M2    6.000    3.000    6.000    14.000   1.000
12           M2    6.000    14.000   19.000   14.000   1.000
12           M1    19.000   14.000   19.000   24.000   1.000
12           M2    22.000   24.000   19.000   24.000   1.000
LOI-         M1    102.000  32.000   76.000   32.000   0.050
LOI-         M1    76.000   26.000   76.000   35.000   0.050
LOI-         M1    121.000  58.000   102.000  58.000   0.050
LOI-         M1    102.000  58.000   102.000  50.000   0.050
LOI-         M2    102.000  50.000   102.000  32.000   0.050
LOI-         M2    33.000   24.000   33.000   26.000   0.050
LOI-         M1    67.000   32.000   67.000   26.000   0.050
LOI-         M2    76.000   26.000   46.000   26.000   0.050
LOI-         M1    48.000   26.000   33.000   26.000   0.050
LOI-         M2    49.000   3.000    37.000   3.000    0.050
LOI-         M2    37.000   3.000    37.000   26.000   0.050
9            M1    84.000   39.000   67.000   39.000   1.000
9            M2    67.000   39.000   44.000   39.000   1.000
9            M2    44.000   39.000   44.000   25.000   1.000
9            M1    44.000   25.000   15.000   25.000   1.000
9            M1    15.000   25.000   15.000   8.000    1.000
9            M1    15.000   8.000    16.000   8.000    1.000
